Jasmijn,root,306,311,403,477,465,501,526,483,431,363,312,352,317,299,215,194,226,0,0,0,0,0
Teun,root,367,377,454,421,419,480,400,388,335,397,335,326,313,293,257,276,225,0,0,0,0,0
Daphne,root,0,0,0,0,0,0,163,193,198,223,268,267,304,287,333,434,484,600,521,393,371,357
Elisabeth,root,0,0,0,0,0,0,163,165,190,194,195,234,250,246,286,260,303,304,301,340,427,434
Gerrit,root,0,0,0,0,0,0,174,179,188,195,213,251,261,239,254,282,303,302,306,288,354,324
Lisanne,root,0,0,0,0,0,161,0,192,200,181,198,255,283,300,355,400,492,467,441,517,439,475
Maaike,root,0,0,0,0,0,0,162,172,160,187,230,291,315,369,390,357,397,392,371,348,369,373
Maartje,root,0,0,0,0,0,0,168,160,158,164,171,190,188,223,246,235,217,219,218,180,189,222
Wesley,root,0,0,0,0,202,0,0,192,227,257,379,340,300,326,390,455,423,415,456,496,521,556
Bente,root,191,193,206,213,204,211,240,263,233,295,349,263,307,257,255,242,0,0,0,0,0,0
Esmée,root,0,0,0,0,208,209,188,212,231,228,231,278,253,276,307,325,285,218,241,183,0,0
Isabel,root,220,221,265,235,244,237,228,210,248,190,234,246,273,285,264,186,0,0,0,0,0,0
Mees,root,493,427,492,550,517,490,386,384,372,422,343,341,309,264,269,208,0,0,0,0,0,0
Milan,root,689,716,730,772,815,740,711,754,821,762,700,682,395,256,219,209,0,0,0,0,0,0
Mohammed,root,215,198,184,231,211,230,207,219,217,204,234,208,239,254,235,0,201,0,0,0,0,0
Noa,root,451,471,515,483,612,562,541,559,544,569,597,626,564,581,575,224,0,0,0,0,0,0
Noah,root,589,562,521,469,464,512,435,394,314,320,342,344,375,454,471,345,0,0,0,0,0,0
Rosa,root,156,164,0,0,0,178,168,187,168,177,194,230,227,203,179,171,169,158,158,0,0,0
Ryan,root,352,344,348,341,358,347,404,362,368,322,325,299,280,268,299,207,0,0,0,0,0,0
Sem,root,700,766,804,851,861,875,845,897,948,891,1198,882,492,422,369,221,0,0,0,0,0,0
Sterre,root,0,156,199,194,246,292,223,257,297,334,379,333,356,298,271,253,193,0,0,0,0,0
Veerle,root,205,179,213,208,191,186,190,188,188,184,187,183,169,167,202,0,184,0,0,0,0,0
Martijn,root,0,0,0,0,0,0,0,175,224,214,310,404,465,481,574,603,629,656,667,733,684,719
Hannah,root,238,227,220,188,194,185,183,198,0,157,186,172,195,203,198,167,0,0,0,0,0,0
Job,root,0,0,0,176,190,215,0,186,209,199,260,321,339,243,271,253,267,248,196,0,0,0
Lara,root,211,221,253,239,211,251,247,243,287,272,297,295,278,241,175,0,0,0,0,0,0,0
Luna,root,260,233,290,314,363,366,344,386,382,376,364,434,378,303,199,0,0,0,0,0,0,0
Pepijn,root,245,289,309,334,305,310,251,252,255,266,256,251,241,219,233,0,0,0,0,0,0,0
Rosalie,root,194,218,186,217,266,250,256,258,212,222,213,211,195,0,192,173,0,0,0,0,0,0
Tess,root,597,794,565,520,554,544,484,413,424,301,297,278,242,233,172,0,0,0,0,0,0,0
Alexander,root,174,167,165,174,0,180,0,0,180,0,0,0,0,0,230,229,233,223,269,293,341,363
Joost,root,0,0,0,0,0,0,0,0,187,195,229,258,259,312,325,345,329,330,357,376,345,412
Mark,root,0,0,0,0,0,0,0,0,200,203,261,327,354,385,468,521,540,509,633,670,756,823
Melissa,root,0,0,0,0,0,0,0,0,158,196,231,275,338,398,450,542,523,639,595,609,704,786
Michelle,root,0,0,0,0,0,0,0,0,164,183,278,372,390,443,447,503,588,608,657,753,883,928
Wouter,root,0,0,0,0,0,0,0,0,257,346,424,464,455,453,487,474,498,547,525,629,625,671
Cas,root,320,293,334,312,333,341,339,367,354,367,292,269,268,0,0,0,213,0,0,0,0,0
Indy,root,154,178,168,179,226,316,323,347,339,332,365,352,348,346,0,0,0,0,0,0,0,0
Jens,root,382,369,391,359,346,346,346,346,353,362,317,312,327,237,0,0,0,0,0,0,0,0
Levi,root,650,733,685,743,720,629,524,387,354,328,267,260,267,0,198,0,0,0,0,0,0,0
Luca,root,383,352,442,366,419,404,405,401,459,357,364,367,314,255,0,0,0,0,0,0,0,0
Quinten,root,0,0,216,237,252,275,324,301,321,376,387,349,335,270,291,218,0,0,0,0,0,0
Rens,root,0,177,194,191,227,238,248,259,283,290,298,303,299,248,0,211,0,0,0,0,0,0
Wessel,root,0,0,0,0,208,203,187,265,279,287,350,351,307,337,332,316,291,241,0,0,0,0
Dennis,root,0,0,0,0,0,0,0,0,0,186,208,275,288,359,471,492,680,702,722,829,995,1128
Dirk,root,0,0,0,0,0,0,0,0,0,203,206,225,230,245,254,277,268,254,310,309,280,325
Esther,root,0,0,0,0,0,0,0,0,0,166,177,195,215,241,265,296,314,352,364,366,440,476
Jordy,root,0,0,0,0,0,0,0,0,0,212,262,291,334,420,456,458,451,551,649,689,643,535
Kirsten,root,0,0,0,0,0,0,0,0,0,164,174,165,186,225,221,240,240,247,248,218,250,320
Sjoerd,root,0,0,0,0,0,0,0,0,0,219,210,239,229,244,276,248,266,318,289,297,348,358
Finn,root,689,714,635,666,623,669,667,578,549,484,416,323,230,0,0,0,0,0,0,0,0,0
Isabella,root,231,267,253,226,218,214,191,195,174,179,170,241,163,0,0,0,0,0,0,0,0,0
Jill,root,279,236,237,226,191,231,217,214,181,226,241,253,189,0,0,0,0,0,0,0,0,0
Mila,root,599,544,445,395,329,312,306,244,264,250,242,217,179,0,0,0,0,0,0,0,0,0
Sofie,root,382,348,346,267,302,315,357,271,306,250,181,172,178,0,0,0,0,0,0,0,0,0
Thijmen,root,236,255,302,292,328,413,396,381,353,361,382,269,239,0,0,0,0,0,0,0,0,0
Tijn,root,330,373,412,382,417,389,413,402,404,348,379,285,222,0,0,0,0,0,0,0,0,0
Denise,root,0,0,0,0,0,0,0,0,0,0,184,195,245,284,315,328,397,435,465,486,507,496
Jeroen,root,0,0,0,0,0,0,0,0,0,0,206,255,356,418,481,584,637,748,833,814,1026,1129
Manon,root,0,0,0,0,0,0,0,0,0,0,163,209,304,302,367,411,425,395,475,449,482,487
Roy,root,0,0,0,0,0,0,0,0,0,0,196,275,304,340,369,407,440,451,490,544,666,603
Stefan,root,0,0,0,0,0,0,0,0,0,0,223,265,303,359,393,442,426,482,546,506,649,707
Carmen,root,0,0,0,0,0,0,0,0,0,180,217,0,188,183,199,202,177,188,173,186,215,211
Luc,root,0,0,0,170,0,0,186,171,0,0,209,263,297,299,342,340,310,267,261,0,0,0
Mirthe,root,180,191,169,189,209,200,193,180,201,184,182,167,0,0,0,0,0,0,0,0,0,0
Noor,root,365,335,372,424,370,322,302,287,269,259,248,197,0,0,0,0,0,0,0,0,0,0
Olivier,root,259,269,304,271,282,234,226,237,237,236,216,210,0,0,0,0,0,0,0,0,0,0
Senna,root,164,202,201,255,283,285,310,305,524,526,493,281,0,0,0,0,0,0,0,0,0,0
Ties,root,301,280,319,307,289,313,294,271,270,229,213,220,0,0,0,0,0,0,0,0,0,0
Yara,root,362,295,285,274,263,256,227,261,230,175,180,194,0,0,0,0,0,0,0,0,0,0
Daniëlle,root,0,0,0,0,0,0,0,0,0,0,0,194,226,245,319,332,370,388,375,386,431,444
Jennifer,root,0,0,0,0,0,0,0,0,0,0,0,217,270,303,275,250,246,215,229,223,253,272
Marieke,root,0,0,0,0,0,0,0,0,0,0,162,164,0,176,228,238,278,242,254,281,294,292
Rik,root,0,0,0,0,0,0,0,0,0,0,0,236,255,267,266,249,315,275,275,246,295,253
Sebastiaan,root,0,0,0,0,0,0,0,0,0,0,0,209,231,209,213,236,254,281,282,293,333,358
Vincent,root,0,0,0,0,0,0,0,0,0,0,0,208,213,283,271,303,303,348,351,384,446,467
Fenna,root,554,586,489,342,309,289,293,265,216,221,209,0,0,0,0,0,0,0,0,0,0,0
Hidde,root,209,232,198,249,257,236,249,251,214,200,0,213,0,0,0,0,0,0,0,0,0,0
Julie,root,219,197,190,227,230,208,194,185,191,0,166,168,0,0,0,0,0,0,0,0,0,0
Loïs,root,274,249,251,225,254,205,201,222,176,158,173,0,0,0,0,0,0,0,0,0,0,0
Mats,root,366,371,386,349,339,299,264,255,275,240,0,0,207,0,0,0,0,0,0,0,0,0
Meike,root,0,0,0,177,176,233,256,264,319,364,393,247,243,273,0,0,0,0,0,0,0,0
Puck,root,0,179,230,208,214,0,0,0,182,163,187,201,218,0,195,176,0,0,0,0,0,0
Tygo,root,437,360,326,372,353,370,417,370,355,318,241,0,0,0,0,0,0,0,0,0,0,0
Chantal,root,0,0,0,0,0,0,0,0,0,0,0,0,171,192,213,217,261,320,326,387,464,525
Cornelia,root,0,0,0,0,0,0,0,0,0,0,0,0,178,196,211,213,224,252,260,262,290,307
Inge,root,0,0,0,0,0,0,0,0,0,0,0,0,171,177,197,193,177,196,226,236,262,264
Jacob,root,0,0,0,0,0,0,0,166,0,0,0,0,0,232,243,209,243,257,254,233,256,273
Jeffrey,root,0,0,0,0,0,0,0,0,0,0,0,0,223,254,292,396,436,479,595,627,707,682
Kimberly,root,0,0,0,0,0,0,0,0,0,0,0,0,172,170,196,190,248,279,296,314,341,321
Mandy,root,0,0,0,0,0,0,0,0,0,0,157,0,0,187,211,242,283,328,345,331,404,386
Melanie,root,0,0,0,0,0,0,0,0,0,0,0,0,204,206,293,312,348,342,306,345,366,371
Michael,root,0,0,0,0,0,0,0,0,0,0,0,0,239,303,333,337,355,336,450,471,572,587
Suzanne,root,0,0,0,0,0,0,0,0,0,0,0,169,0,203,212,231,265,255,337,283,351,406
Benjamin,root,422,397,363,381,267,243,239,207,203,0,201,0,0,0,0,0,0,0,0,0,0,0
Evi,root,542,487,426,422,370,383,317,288,227,183,0,0,0,0,0,0,0,0,0,0,0,0
Guus,root,270,301,273,300,258,269,223,205,219,220,0,0,0,0,0,0,0,0,0,0,0,0
Hugo,root,387,341,303,356,323,337,280,261,232,208,0,0,0,0,0,0,0,0,0,0,0,0
Isabelle,root,0,0,0,0,201,170,0,0,0,0,203,260,193,202,207,230,202,158,0,0,0,0
Jade,root,0,159,0,167,161,189,194,165,213,238,192,188,0,0,0,0,0,0,0,0,0,0
Jayden,root,541,614,646,700,734,781,798,638,446,315,0,0,0,0,0,0,0,0,0,0,0,0
Jesper,root,0,0,0,0,0,0,188,216,213,213,248,217,208,225,256,247,0,0,0,0,0,0
Kiki,root,0,0,159,175,0,166,165,165,166,188,163,0,176,173,0,0,0,0,0,0,0,0
