Testing,Parent,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Lichtenstein,WesternEurope,24.0,24.0,24.0,25.0,26.0,26.0,26.0,26.0,26.0,27.0,27.0,27.0,28.0,28.0,28.0,28.0,28.0,30.0,30.0,30.0,31.0,31.0,31.23200035095215,32.01499938964844,32.42599868774414,32.67300033569336,33.104000091552734,33.678001403808594,34.02199935913086,34.47700119018555,34.73400115966797,35.0099983215332,35.321998596191406,35.44599914550781,35.78900146484375,36.0099983215332,36.28099822998047,36.63600158691406,36.94200134277344,37.21500015258789,37.46799850463867,37.62200164794922
Malta,SouthernEurope,328.0,329.0,332.0,313.0,316.0,319.0,322.0,325.0,328.0,337.0,340.0,342.0,344.0,347.0,351.0,354.0,358.0,358.0,373.0,369.0,377.0,374.0,376.51300048828125,378.51800537109375,380.20098876953125,382.5249938964844,385.0769958496094,386.93798828125,398.5820007324219,401.3059997558594,403.8789978027344,405.3550109863281,406.77801513671875,409.4289855957031,412.5299987792969,414.56201171875,416.3179931640625,419.5069885253906,423.4309997558594,427.4209899902344,431.9360046386719,434.40301513671875
Croatia,SouthernEurope,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4470.0,4641.0,4649.0,4669.0,4494.0,4572.47412109375,4501.14892578125,4553.76904296875,4426.23291015625,4439.634765625,4440.384765625,4440.2900390625,4308.29296875,4310.14501953125,4311.1591796875,4310.216796875,4309.705078125,4305.18115234375,4295.4267578125,4280.6220703125,4267.55810546875,4255.68896484375,4238.38916015625,4203.60400390625,4190.6689453125
Montenegro,SouthernEurope,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,624.2410278320312,626.10400390625,628.8040161132812,631.5360107421875,617.3040161132812,620.5560302734375,620.6010131835938,622.1489868164062,621.8099975585938,622.1589965820312,622.218017578125
Ukraine,EasternEurope(post-USSR),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51944.0,52057.0,52244.0,52114.0,51728.0,51058.0,50594.6015625,50370.80078125,49918.1015625,49429.80078125,48690.15234375,48230.28125,47812.94921875,47451.625,47105.171875,46787.78515625,46509.35546875,46258.1875,46053.30859375,45870.7421875,45706.0859375,45593.34375,45553.046875,42988.02734375,42759.66015625,42590.87890625
CzechoslovakiaNew,EasternEurope(post-USSR),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15583.0,15731.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bulgaria,EasternEurope(pre-USSR),8721.0,8759.0,8804.0,8814.0,8826.0,8862.0,8891.0,8917.0,8940.0,8961.0,8960.0,8958.0,8971.0,8981.0,8989.0,8991.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RomaniaNew,EasternEurope(post-USSR),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23185.0,22789.0,22755.0,22731.0,22681.0,22608.0,22545.92578125,22502.802734375,22458.021484375,22435.205078125,22408.392578125,21794.79296875,21733.556640625,21673.328125,21319.673828125,21193.748046875,20882.98046875,20537.84765625,20367.4375,20246.798828125,20147.65625,20060.181640625,19988.693359375,19913.193359375,19819.697265625,19760.314453125
Sweden,NorthernEurope(pre-USSR),8193.0,8222.0,8252.0,8276.0,8294.0,8310.0,8320.0,8325.0,8329.0,8337.0,8350.0,8370.0,8398.0,8437.0,8493.0,8559.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Armenia,OtherAreas(post-USSR),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3612.0,3686.0,3731.0,3308.0,3255.0,3247.0,3242.10009765625,3235.15087890625,3229.4990234375,3221.10595703125,3214.094970703125,3211.593017578125,3211.26708984375,3214.030029296875,3217.534912109375,3221.093994140625,3226.52001953125,3234.031005859375,3243.72900390625,3256.06591796875,3027.89990234375,3024.10009765625,3022.0,3013.800048828125,3004.587890625,2992.5
